District,Total_Number_of_Building_solar_rooftop_grid_connected,Grid_Connected_Rooftop_Solar_Capacity_Installed_(in_KWp),Count_solar_pump_installed,Capacity_Solar_Mini_Grid_Plant,Count_Solar_Mini_Grid_Plant,SGM_count,SGM_Capacity,Solar_Streetlights,PRIVATE_SOLAR_ROOFTOP(19-20),PRIVATE_SOLAR_ROOFTOP(21-22),Privatesolar,private_solar_count,Solar_street_Lights,Solar_Streetlights_capacity
Bokaro,98,1785,336,0,0,0,0,1520,11.055,5,16.055,5,1520,114
Chatra,108,1666,790,332,9,0,0,705,0,0,0,0,705,43.25
Deoghar,56,1294,533,0,0,7,14000,0,5,0,5,1,0,0
Dhanbad,84,2224,270,0,0,0,0,809,47.06,0,47.06,12,809,58.05
Dumka,85,1870,385,0,0,0,0,112,0,0,0,0,112,8.4
East_Singhbhum,83,1588,784,0,0,1,3000,2778,59.8,24,83.8,16,2778,208.35
Garhwa,85,1313,784,709,19,0,0,726,0,0,0,0,726,54.45
Giridih,115,2005,1171,0,0,0,0,613,11.015,0,11.015,3,613,45.975
Godda,68,1295,865,0,0,0,0,136,0,0,0,0,136,10.2
Gumla,70,1415,431,0,0,0,0,391,0,0,0,0,391,29.325
Hazaribagh,86,2142,1382,35,1,0,0,2937,18.86,0,18.86,5,2937,183.28
Jamtara,64,951,0,0,0,0,0,239,0,0,0,0,239,10.575
Khunti,38,821,1094,0,0,0,0,1537,0,0,0,0,1537,77.51
Koderma,41,776,748,0,0,0,0,458,3.96,0,3.96,1,458,34.35
Latehar,51,797,161,0,0,0,0,759,0,0,0,0,759,56.925
Lohardaga,37,605,395,0,0,0,0,1317,0,0,0,0,1317,98.775
Pakur,39,711,196,0,0,0,0,0,0,0,0,0,0,0
Palamu,114,1861,877,0,0,0,0,542,0,0,0,0,542,40.65
Ramgarh,58,1022,528,0,0,0,0,1193,0,0,0,0,1193,89.475
Ranchi,240,7262,701,0,0,0,0,2466,168.69,165,333.69,78,2466,156.95
Sahibganj,64,1165,171,565.5,17,0,0,100,0,0,0,0,100,7.5
"Saraikela
Kharsawan",56,901,0,0,0,1,2000,269,3.015,0,3.015,1,269,20.175
Simdega,71,1401,1057,74,4,0,0,2265,0,0,0,0,2265,169.875
West_Singhbhum,120,2083,897,0,0,0,0,424,0,0,0,0,424,31.8
